raw_x,raw_y,raw_z,raw_yaw,filt_x,filt_y,filt_z,filt_yaw
3.11024,-0.63459,0.512899,-1.52389,3.08373,-0.629213,0.508655,-1.55268
3.23732,-0.674698,0.529446,-1.49231,3.24417,-0.67646,0.531303,-1.5395
3.54811,-0.0706327,0.563198,-1.75604,3.51802,-0.217545,0.561687,-1.56867
3.28573,-0.0797647,0.524306,-1.68182,3.39008,-0.0522165,0.539038,-1.58423
3.04287,-0.0885363,0.48746,-1.77356,3.12357,-0.0350078,0.498399,-1.61288
2.87129,-0.0999528,0.462451,-1.71124,2.89251,-0.0653504,0.464708,-1.62951
2.70269,-0.109509,0.437455,-1.68656,2.69986,-0.0959473,0.436695,-1.64079
2.60394,-0.120985,0.420771,-1.69851,2.5814,-0.118129,0.417832,-1.65277
2.55202,-0.133573,0.418031,-1.66542,2.52524,-0.134219,0.41287,-1.65835
2.42791,-0.145303,0.396563,-1.69216,2.42904,-0.146621,0.397544,-1.66731
2.25491,-0.155251,0.370284,-1.69762,2.27272,-0.156495,0.373256,-1.67604
2.2335,-0.168312,0.366428,-1.66462,2.21264,-0.168253,0.363414,-1.67859
2.23855,-0.18564,0.3682,-1.63124,2.21297,-0.184361,0.364009,-1.67538
2.18484,-0.198632,0.362063,-1.63061,2.18348,-0.198656,0.361365,-1.67199
2.17686,-0.214194,0.361324,-1.61276,2.17132,-0.213923,0.36053,-1.66582
2.1521,-0.229769,0.351069,1.55086,2.15201,-0.229557,0.352762,-1.65651
2.19036,-0.249425,0.364128,-1.58338,2.1774,-0.248412,0.360352,-1.64664
2.18194,-0.265513,0.356851,1.56423,2.1827,-0.2656,0.358194,-1.63655
2.16735,-0.282456,0.363954,-1.59078,2.17221,-0.282556,0.362586,-1.62933
2.18507,-0.301958,0.364862,-1.58594,2.1813,-0.301441,0.364922,-1.62199
2.22595,-0.330051,0.372494,-1.58681,2.21684,-0.327715,0.371339,-1.61545
2.25342,-0.350539,0.37572,-1.55487,2.25044,-0.350606,0.375827,-1.60459
2.27559,-0.371885,0.378125,-1.58909,2.27658,-0.372267,0.378648,-1.60008
