raw_yaw,filt_yaw
-1.64395,-1.66288
-1.63893,-1.6455
-1.61955,-1.62658
-1.62713,-1.61802
-1.60859,-1.60625
-1.60899,-1.59985
-1.59797,-1.59249
-1.59861,-1.58907
-1.57301,-1.57738
-1.58881,-1.57675
-1.54822,-1.56065
-1.54164,-1.54721
-1.56275,-1.54767
-1.54029,-1.54013
-1.52207,-1.52813
-1.52897,-1.52341
-1.50681,-1.51197
-1.47358,-1.49083
